見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
疾患別患者・家族交流会,(1)潰瘍性大腸炎(2)特発性血小板減少性紫斑病(3)クローン病 ,,,(1)6月16日（土）(2) 6月30日（土）(3) 7月14日（土）いずれも13:30～15:30,県難病・子ども保健相談支援センター（和歌山市）,患者、家族,各10人（先着順）,,,,電話、ファックスで交流会名、氏名、住所、電話番号（ファックス番号）、参加人数を開催2日前までに会場 電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
筋疾患講演会・個別相談会,,,,7月28日（土）13:30～16:30,情報交流センターBig・U（田辺市）,患者、家族、教育・保健・福祉・医療関係者など,50人（個別相談6人）（先着順）,,,,郵送、電話、ファックスで住所、氏名、電話番号、個別相談の有無を7月20日（一時保育・手話通訳・要約筆記希望者は6月27日）までに県難病・子ども保健相談支援センター 〒641-8510和歌山市紀三井寺811-1 県立医大病院3階電話073-445-0520ファックス073-445-0603県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
発達障害に関する講演会,講師：品川裕香(教育ジャーナリスト) ,,,7月29日（日）13:00～16:30,県勤労福祉会館プラザホープ(和歌山市),,350人（先着順）,500円（資料代）,,,ファックス、Eメール、インターネットで所定の申込書(申込先、WEBサイトで配布)を県発達障害者支援センターポラリス電話073-413-3200　ファックス073-413-3020,,,,http://aitoku.or.jp/polaris,,polaris@jtw.zaq.ne.jp,
脊髄小脳変性症・多系統萎縮症医療講演会,,,,7月21日（土）14:00～16:30,県民文化会館（和歌山市）,患者、家族、保健・医療・福祉関係者など ,50人（先着順）,,,,電話、ファックスで氏名、電話番号、参加人数、研修名を6月20までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
身体障害者補助犬（盲導犬・介助犬・聴導犬）給付希望者,,,,,,視覚障害1級、肢体障害1級または聴覚障害2級以上の身体障害者手帳を所持し、所定の要件(補助犬の管理が可能など)をすべて満たす方,1人,,郵送で所定の申込書（申込先、問合先で配布）を6月29日までに市町村,県庁障害福祉課県ウェブサイトでも掲載 ,,,,,https://www.pref.wakayama.lg.jp/prefg/040400/,,,
視覚障害者対象パソコン講習会,,,,6月28日（木）・7月26日（木）8月30日（木） いずれも9:30～15:30,歌山ビッグ愛（和歌山市）,,5人（先着順）,,,,電話、ファックスで住所、氏名、年齢、電話（ファックス）番号を6月22日までに県点字図書館 〒640-8319和歌山市手平2-1-2電話073-488-5721 ファックス073-488-5731,,,,,,,
身体障害者パソコンボランティア,外出困難な在宅の身体障害者に、自宅などでパソコン操作を支援するボランティアを養成・派遣,(1)ボランティア養成講座,,6月23日（土）・24日（日） いずれも9:30～15:30 ,和歌山ビッグ愛（和歌山市）,,5人（先着順）,,,,"電話、ファックスで住所、氏名、年齢,電話（ファックス）番号を6月19日までに県点字図書館 〒640-8319和歌山市手平2-1-2電話073-488-5721　ファックス073-488-5731",,,,mailto:wakaten@wakaten.jp,,,
身体障害者パソコンボランティア,外出困難な在宅の身体障害者に、自宅などでパソコン操作を支援するボランティアを養成・派遣,(2)ボランティア派遣,,随時,身体障害者の自宅など,外出困難な在宅の重度身体障害者,,,,,郵送、電話、ファックス、Eメールで住所、氏名、年齢、性別、電話（ファックス）番号を県点字図書館 〒640-8319和歌山市手平2-1-2電話073-488-5721　ファックス073-488-5731,,,,mailto:wakaten@wakaten.jp,,,
看護系学校養成所進路相談会,,,,(1)6月17日（日）(2)6月24日（日） いずれも13:00～15:00,(1)県民文化会館（和歌山市）(2)田辺市民総合センター,看護に関心のある高校生など,,,,県庁医務課,,,,,,,,
県聴覚障害者情報センターからのお知らせ,聴覚障害者IT講習会「スカイプを登録して活用してみよう！」,,,6月25日（月）13:00～15:30,田辺市民総合センター,県内在住の聴覚障害者および中途失聴・難聴者でスマートフォンまたはタブレットをお持ちの方,15人（抽選）,,,,郵送、ファックスで所定の申込書（申込先、WEBサイトで配布）を(1)6月11日(2)6月25日までに県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411,,,,http://wakayama-tyoukaku.la.coocan.jp/,,,
県聴覚障害者情報センターからのお知らせ,聴覚障害者文化教室,,,7月9日（月）13:30～15:00,和歌山ビッグ愛（和歌山市）,県内在住の聴覚障害者,20人（抽選）,"1,080～2,160円（材料費）",,,郵送、ファックスで所定の申込書（申込先、WEBサイトで配布）を(1)6月11日(2)6月25日までに県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411,,,,http://wakayama-tyoukaku.la.coocan.jp/,,,
遊びのサポーター養成講座,病気や障害のある子供とより楽しく接するための講義と実技,,,7月7日（土）10:00～16:30,和歌山市中央コミュニティセンター,18歳以上,30人（先着順）,,,,郵送、電話、ファックスで住所、氏名、電話番号、講座名を7月5日（手話通訳・要約筆記希望者は6月6日）までに県難病・子ども保健相談支援センター 〒641-8510和歌山市紀三井寺811-1 県立医大病院3階電話073-445-0520　ファックス073-445-0603,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
潜在介護職員再就職支援研修会,,,,7月4日（水）10:00～16:30,和歌山ビッグ愛（和歌山市）,,20人（先着順）,,,,郵送、電話、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を7月2日までに県福祉人材センターハートワーク 〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階電話073-435-5211　ファックス073-435-5209,,,,http://wakayamakenshakyo.or.jp/~jinzai/,,jinzai@wakayamakenshakyo.or.jp,
看護学校オープンキャンパス,,,,7月25日（水）9:30～12:15 ,県立なぎ看護学校（新宮市）,高校生以上,90人（先着順）,,,,ファックス、Eメールで住所、氏名、電話番号、学生（学校名、学年）・社会人の別を6月11～25日までに会場（県内の学生は学校から申込）電話0735-31-8797　ファックス0735-31-6773,,,,https://www.pref.wakayama.lg.jp/bcms/prefg/050114/nagi/index.html,,e0501141@pref.wakayama.lg.jp,
介護の仕事未経験者向け介護基礎研修会・就職相談会（上期）,,,,(1)7月4日（水）～6日（金）(2)8月10日（金）～12日（日）(3)8月22日（水）～24日（金）(4)9月3日（月）～5日（水）いずれも9:30から,(1)橋本市民会館(2)情報交流センターBig・U（田辺市）※最終日午後はハナヨアリーナ（田辺市）(3)和歌山市民会館(4)財部会館（御坊市）,介護未経験の中高年齢者等で就職希望の方 ,各20人（先着順）,,,,ファックスで所定の申込書（申込先で配布）を県介護普及センター 田辺市神島台6-1 真寿会内電話0739-22-6589　ファックス0739-22-6569,,,,,,,
福祉・介護・保育の就職フェアわかやま,,,,6月26日（火）13:00～16:00,和歌山ビッグ愛（和歌山市）,,,,,県福祉人材センターハートワーク電話073-435-5211,,,,,http://wakayamakenshakyo.or.jp/~jinzai/,,,
「多言語電話通訳・簡易翻訳サービス」の提供,,,,,,県内事業者,,"2,000円",,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を平成31年2月28日まで県庁観光交流課県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/062500/,,,
公開講座「歯科医院に行くなら伝えて欲しい！骨粗しょう症の薬」,,,,6月17日（日）14:00～15:30　,県立医大図書館棟（和歌山市）,,100人（先着順）,,,県立医大歯科口腔（こうくう）外科学講座電話073-447-0643,,,,,,,,
みんな、たいせつ「人権感覚を育てよう」プログラム講師養成セミナー,,,,(1)6月10日（日）(2)6月17日（日） いずれも10:00～16:00,(1)情報交流センターBig・U（田辺市）(2)和歌山ビッグ愛（和歌山市）,,各30人（先着順）,,,,電話、ファックス、Eメールで住所、氏名、電話番号、希望会場名、勤務先名（幼稚園、保育所などから申込の方のみ）を県人権啓発センター電話073-435-5420　ファックス073-435-5421,,,,https://www.pref.wakayama.lg.jp/prefg/021500/center.html,,minnataisetsu@w-jinken.jp,
産業廃棄物管理票交付等状況報告,平成29年度中に産業廃棄物管理票（マニフェスト）の交付実績のある事業者は報告義務があります。,,,,,,,,,,Eメール、インターネットで所定の申込書（WEBサイトで配布）を6月30日までに県立保健所、県庁廃棄物指導室 　※排出事業場が和歌山市内の場合は市産業廃棄物課 電話073-435-1221県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/031800/032200/haitaihp/mani/maniyousiki.html,,e0318004@pref.wakayama.lg.jp,
